,StartTime,LastTime,Flgs,Seq,Dur,RunTime,IdleTime,Mean,Sum,Min,Max,Proto,SrcAddr,Sport,DstAddr,Dport,SrcPkts,DstPkts,SrcBytes,DstBytes,State,sTos,sDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,TotPkts,TotBytes,TotAppByte,SAppBytes,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,SrcGap,Rate,SrcRate,DstRate,TcpRtt,SynAck,AckDat,Offset,sMeanPktSz,dMeanPktSz,Device_type,Label
DstRate,-0.043232604,-0.043245297,0.016106255,-0.016165909,-0.007086154,-0.007015325,-0.015286772,-0.007015325,-0.007015325,-0.007015325,-0.007015325,0.019729045,-0.008091616,0.002235358,-0.018108087,0.025715931,0.087709685,0.10563683,0.041705108,0.105857318,-0.041983038,-0.009446817,-0.000322828,-0.006534222,0.005599432,-0.010379282,0.01387843,0.013794019,-0.018235911,0.064877917,0.106583192,0.08542287,-0.002469834,-0.001101631,0.161515697,0.041263271,0.425153197,0.008314585,0.006789537,0.006542469,0.00791325,-0.000155882,0.195254548,0.235613744,1,0.006455015,0.004160489,0.013320932,-0.015433883,-0.009186426,0.080931818,0.024738129,0.03534627
DstPkts,-0.030618805,-0.030502857,0.085618094,-0.016989249,0.166071932,0.164380239,-0.034052668,0.164380239,0.164380239,0.164380239,0.164380239,0.019317554,-0.01583435,0.003101921,-0.058553155,0.02512422,0.760279208,1,0.395534063,0.995116424,-0.059321827,-0.009800366,0.001164286,-0.01103941,-0.004402684,-0.01524387,0.028371197,0.011726184,-0.008394738,0.042999609,0.983971066,0.855881135,0.068793352,0.076980411,0.196069757,-0.000156549,0.683026062,0.066849837,0.004730584,0.066645953,-0.001820373,-0.0003426,-0.019095653,0.007842767,0.10563683,0.007883697,0.007818332,0.001441102,-0.016316536,-0.010584139,0.369684787,0.0125454,0.035514832
AckDat,-0.049529706,-0.049529296,0.042897632,-0.03263048,0.024918588,0.02505883,-0.024291281,0.02505883,0.02505883,0.02505883,0.02505883,0.037620122,-0.020408237,-0.004564173,0.001144509,0.048290637,0.007759914,0.001441102,0.003500885,0.000627761,-0.08524263,-0.019043659,-0.003852184,-0.017902688,-0.008166321,-0.02587884,0.05776674,0.013760743,-0.01349269,0.053090752,0.003237242,-0.00228689,-0.004977711,-0.002220232,0.000414686,-0.002649564,0.010245077,0.025931668,0.067137715,0.011997265,0.017780451,-0.001095718,-0.052078913,-0.00176181,0.013320932,0.226166711,0.047340586,1,-0.031162342,0.021124985,0.111809011,0.031615889,0.03577503
TotPkts,-0.035047079,-0.034916887,0.106592594,-0.018000559,0.175739562,0.175808094,-0.035763362,0.175808094,0.175808094,0.175808094,0.175808094,0.021988893,-0.010911903,0.008099148,-0.061918077,0.028761401,0.852345715,0.983971066,0.456606875,0.987664463,-0.068450326,-0.009975631,-0.001854921,-0.010707245,-0.004494756,-0.015091589,0.030021664,0.010097678,-0.011936867,0.036111814,1,0.809758475,-0.002799348,-0.001248606,0.198187742,0.000161628,0.68934168,0.081492743,0.006910524,0.081043671,-0.001409039,-0.000308968,-0.020794492,0.009297279,0.106583192,0.008382264,0.007998053,0.003237242,-0.017343459,-0.001647096,0.390250818,0.017162306,0.039339629
SrcPkts,-0.04247125,-0.042317292,0.138417882,-0.019804964,0.176389946,0.176473026,-0.038967599,0.176473026,0.176473026,0.176473026,0.176473026,0.023184996,-0.011642144,0.011259415,-0.062378319,0.031088477,1,0.760279208,0.575986269,0.760655624,-0.071338736,-0.009657385,-0.000998774,-0.008704647,-0.004453671,-0.013299961,0.03302662,0.014109671,-0.013323023,0.030601583,0.852345715,0.626742937,-0.003311386,-0.001476993,0.164862449,0.000999754,0.570554338,0.115758466,0.012756067,0.114562664,-5.58E-05,-0.000207343,-0.026136069,0.012108161,0.087709685,0.007618751,0.006380305,0.007759914,-0.019013317,0.024499861,0.37887402,0.030663949,0.04546457
sTos,-0.078212191,-0.078186932,0.02560626,-0.03332657,0.090740902,0.090877514,-0.050248737,0.090877514,0.090877514,0.090877514,0.090877514,-0.094330925,0.231482458,0.018459719,0.092159385,-0.206788775,-0.009657385,-0.009800366,-0.01455649,-0.008730626,0.100974072,1,-0.11307412,0.177242505,-0.012528512,0.231313498,0.056572316,-0.093697818,0.132782257,0.039042873,-0.009975631,-0.01021692,-0.004997981,-0.002229272,-0.00815124,-0.003809663,-0.015718621,-0.005410475,-0.006318698,-0.005095021,-0.006440157,-0.001371009,-0.06331814,-0.006243642,-0.009446817,-0.014013369,-0.010854887,-0.019043659,-0.032066428,0.043875437,-0.063232512,0.00332368,0.050131167
DstLoad,-0.049341929,-0.049272124,0.079535019,-0.027058087,0.087491364,0.087602852,-0.039841882,0.087602852,0.087602852,0.087602852,0.087602852,0.038256709,-0.016287556,0.012300644,-0.081593069,0.044032596,0.570554338,0.683026062,0.287429707,0.684272558,-0.099233324,-0.015718621,-0.00307378,-0.016352955,-0.004552365,-0.02301243,0.041489741,0.008717039,-0.020215994,0.065899395,0.68934168,0.559285563,-0.004108913,-0.001832717,0.29904276,0.012326783,1,0.053274546,0.004743153,0.052479354,-0.001347041,-0.000428142,0.032635371,0.086222165,0.425153197,0.009701327,0.008057165,0.010245077,-0.025994228,-0.023000931,0.535096912,0.031462068,0.0528003
sTtl,-0.084255434,-0.084180044,0.017654083,-0.040587146,0.094095263,0.094262304,-0.027363509,0.094262304,0.094262304,0.094262304,0.094262304,0.025587216,0.270680148,0.158629379,0.203689664,-0.162079911,-0.008704647,-0.01103941,-0.010359296,-0.010277585,-0.025795513,0.177242505,-0.083823566,1,0.025544314,0.955485477,0.069811122,-0.104214978,0.082500446,0.072120885,-0.010707245,-0.012022418,-0.0060734,-0.002708947,0.028586086,0.034877421,-0.016352955,-4.63E-05,0.023162032,-0.005800062,0.02214634,-0.00166601,-0.063107364,0.047639057,-0.006534222,-0.004391332,-0.001198576,-0.017902688,-0.038793794,0.096350748,-0.032083868,0.097025652,0.062599208
SrcBytes,-0.024717594,-0.024543786,0.072435137,-0.033265633,0.278588596,0.278718482,-0.054849778,0.278718482,0.278718482,0.278718482,0.278718482,0.063648381,-0.017981277,-0.000705562,-0.042828246,0.051547569,0.575986269,0.395534063,1,0.383218616,-0.124170682,-0.01455649,-0.005338473,-0.010359296,-0.007799287,-0.017972295,0.052020147,0.01256339,-0.019014631,0.071066332,0.456606875,0.325651749,-0.005183278,-0.002311921,0.086290459,0.003895889,0.287429707,0.059789273,0.011685209,0.057415538,-0.001941052,0.002037507,-0.056079085,0.004777641,0.041705108,0.002224492,0.001634904,0.003500885,-0.031991035,0.407614804,0.267667093,-0.004542258,0.06687727
sHops,-0.086284454,-0.086209872,0.02076189,-0.054990755,0.083418221,0.083647466,-0.043131553,0.083647466,0.083647466,0.083647466,0.083647466,0.0273517,0.320964374,0.101249042,0.256365531,-0.235926022,-0.013299961,-0.01524387,-0.017972295,-0.014034371,0.022465451,0.231313498,-0.056330483,0.955485477,0.026527609,1,0.093139977,-0.139585649,0.140122424,0.108903034,-0.015091589,-0.016446271,-0.008232506,-0.003671982,0.041629546,0.050550058,-0.02301243,-0.002070803,0.021910063,-0.007982342,0.020800308,-0.00225828,-0.087609694,0.057621102,-0.010379282,-0.009839696,-0.005313345,-0.02587884,-0.052544385,0.084163921,-0.05919795,0.094701515,0.083069091
